,motor_name,motor_price,listing_type,brand,model,engine_cap,classification,reg_date,coe_exp_date,mileage,no_of_owners,type_of_vehicle
752,Aprilia RSV4 RR,0,-,Aprilia,Aprilia RSV4 RR,999cc,Class 2,00/00/00,00/00/00,0km,0,Sport Bikes
753,Aprilia Shiver 900,0,-,Aprilia,Aprilia Shiver 900,896cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
754,Aprilia SR GT 200,0,-,Aprilia,Aprilia SR GT 200,174cc,Class 2B,00/00/00,00/00/00,0km,0,Scooters
755,Aprilia SR Max 300,0,-,Aprilia,Aprilia SR Max 300,278cc,Class 2A,00/00/00,00/00/00,0km,0,Scooters
756,Aprilia SR Motard 125,0,-,Aprilia,Aprilia SR Motard 125,124cc,Class 2B,00/00/00,00/00/00,0km,0,Scooters
757,Aprilia SRV 850 ABS,0,-,Aprilia,Aprilia SRV 850 ABS,839cc,Class 2,00/00/00,00/00/00,0km,0,Scooters
758,Aprilia SX125,0,-,Aprilia,Aprilia SX125,124cc,Class 2B,00/00/00,00/00/00,0km,0,Super Motards
759,Aprilia Tuareg 660,0,-,Aprilia,Aprilia Tuareg 660,660cc,Class 2,00/00/00,00/00/00,0km,0,Sport Tourers
760,Aprilia Tuono 125,0,-,Aprilia,Aprilia Tuono 125,124cc,Class 2B,00/00/00,00/00/00,0km,0,Street Bikes
761,Aprilia Tuono V4 1100 Factory,0,-,Aprilia,Aprilia Tuono V4 1100 Factory,1077cc,Class 2,00/00/00,00/00/00,0km,0,Sport Bikes
762,Aprilia Tuono V4 1100RR,0,-,Aprilia,Aprilia Tuono V4 1100RR,1077cc,Class 2,00/00/00,00/00/00,0km,0,Sport Bikes
763,Bajaj Avenger Cruise 220,0,-,Bajaj,Bajaj Avenger Cruise 220,220cc,Class 2A,00/00/00,00/00/00,0km,0,Cruiser
764,Bajaj Avenger Street 180,0,-,Bajaj,Bajaj Avenger Street 180,180cc,Class 2B,00/00/00,00/00/00,0km,0,Street Bikes
765,Bajaj Avenger Street 220,0,-,Bajaj,Bajaj Avenger Street 220,220cc,Class 2A,00/00/00,00/00/00,0km,0,Street Bikes
766,Bajaj Discover 110,0,-,Bajaj,Bajaj Discover 110,115cc,Class 2B,00/00/00,00/00/00,0km,0,Street Bikes
