,motor_name,motor_price,listing_type,brand,model,engine_cap,classification,reg_date,coe_exp_date,mileage,no_of_owners,type_of_vehicle
0,BMW R1250RT,SGD$68000,Paid Ad,BMW,BMW R1250RT,1254cc,Class 2,27/10/2021,26/10/2031 (8yrs 9mths 25days COE left),2731km,1,Sport Tourers
1,Honda VFR800X CrossRunner,SGD$16800,Paid Ad,Honda,Honda VFR800X CrossRunner,782cc,Class 2,23/05/2015,22/05/2025 (2yrs 4mths 21days COE left),51000km,2,Sport Tourers
2,Yamaha XSR900,SGD$28888,Paid Ad,Yamaha,Yamaha XSR900,847cc,Class 2,02/12/2020,01/12/2030 (7yrs 11mths COE left),841km,1,Street Bikes
3,Honda PCX150,SGD$9222,Paid Ad,Honda,Honda PCX150,153cc,Class 2B,29/08/2017,28/08/2027 (4yrs 7mths 27days COE left),-,-,Scooters
4,Honda Shadow 400,SGD$12800,Paid Ad,Honda,Honda Shadow 400,398cc,Class 2A,23/01/1998,30/11/2027 (4yrs 10mths 29days COE left),9999km,-,Cruiser
5,Yamaha FJR1300,SGD$12500,Featured Ad,Yamaha,Yamaha FJR1300,1298cc,Class 2,07/08/2009,31/01/2029 (6yrs 30days COE left),151000km,3,Sport Tourers
6,Vespa LX150 I.E.,SGD$3999,Paid Ad,Vespa,Vespa LX150 I.E.,155cc,Class 2B,08/07/2013,07/07/2023 (6mths 6days COE left),-,-,Scooters
7,Honda NT700V Deauville,SGD$12500,Paid Ad,Honda,Honda NT700V Deauville,680cc,Class 2,13/11/2009,12/11/2029 (6yrs 10mths 11days COE left),-,-,Sport Tourers
8,Yamaha Nmax 155,SGD$13800,Paid Ad,Yamaha,Yamaha Nmax 155,155cc,Class 2B,20/05/2021,19/05/2031 (8yrs 4mths 18days COE left),-,-,Scooters
9,KTM 1290 Super Adventure,SGD$18800,Paid Ad,KTM,KTM 1290 Super Adventure,1301cc,Class 2,03/08/2015,02/08/2025 (2yrs 7mths 1days COE left),27700km,-,Sport Tourers
10,KTM 390 Duke,SGD$4888,Paid Ad,KTM,KTM 390 Duke,373cc,Class 2A,18/09/2014,17/09/2024 (1yrs 8mths 16days COE left),56980km,2,Street Bikes
11,Vespa GTS 300 Supertech HPE,SGD$21800,Paid Ad,Vespa,Vespa GTS 300 Supertech HPE,278cc,Class 2A,20/10/2021,19/10/2031 (8yrs 9mths 18days COE left),-,-,Scooters
12,MV Agusta Dragster 800 RC,SGD$49888,Paid Ad,MV Agusta,MV Agusta Dragster 800 RC,798cc,Class 2,14/05/2021,13/05/2031 (8yrs 4mths 12days COE left),1198km,-,Street Bikes
13,Harley Davidson Fat Bob 114,SGD$34888,Paid Ad,Harley Davidson,Harley Davidson Fat Bob 114,1868cc,Class 2,29/12/2017,28/12/2027 (4yrs 11mths 27days COE left),11120km,-,Cruiser
14,Honda CB400 Super 4 Bold'or,SGD$14588,Paid Ad,Honda,Honda CB400 Super 4 Bold'or,399cc,Class 2A,03/09/2016,02/09/2026 (3yrs 8mths 1days COE left),62371km,-,Street Bikes
15,Royal Enfield Bullet 500,SGD$10500,Paid Ad,Royal Enfield,Royal Enfield Bullet 500,499cc,Class 2,31/12/2009,30/12/2029 (6yrs 11mths 29days COE left),41000km,3,Street Bikes
16,Yamaha FZ8-S,SGD$13500,Paid Ad,Yamaha,Yamaha FZ8-S,779cc,Class 2,10/01/2011,09/01/2031 (8yrs 8days COE left),127000km,3,Street Bikes
17,Aprilia Dorsoduro 1200 ABS,SGD$9800,Paid Ad,Aprilia,Aprilia Dorsoduro 1200 ABS,1197cc,Class 2,24/04/2014,23/04/2024 (1yrs 3mths 22days COE left),-,1,Super Motards
18,Royal Enfield Meteor 350,SGD$16588,Paid Ad,Royal Enfield,Royal Enfield Meteor 350,350cc,Class 2A,05/10/2021,04/10/2031 (8yrs 9mths 3days COE left),12383km,1,Street Bikes
19,Honda CBF150,SGD$3800,Paid Ad,Honda,Honda CBF150,149cc,Class 2B,22/09/2008,21/09/2023 (8mths 20days COE left),90000km,2,Street Bikes
20,SYM Joyride S200i,SGD$9300,Paid Ad,SYM,SYM Joyride S200i,175cc,Class 2B,10/10/2018,09/10/2028 (5yrs 9mths 8days COE left),128000km,1,Scooters
21,Honda CB150R ExMotion,SGD$10800,Paid Ad,Honda,Honda CB150R ExMotion,149cc,Class 2B,05/10/2018,04/10/2028 (5yrs 9mths 3days COE left),-,-,Street Bikes
22,Yamaha XSR700,SGD$29500,Paid Ad,Yamaha,Yamaha XSR700,689cc,Class 2,27/10/2022,26/10/2032 (9yrs 9mths 25days COE left),-,-,Street Bikes
23,Ducati Diavel,SGD$27000,Paid Ad,Ducati,Ducati Diavel,1198cc,Class 2,25/03/2011,24/03/2031 (8yrs 2mths 23days COE left),12000km,1,Street Bikes
24,Kawasaki Z1000 ABS,SGD$12888,Paid Ad,Kawasaki,Kawasaki Z1000 ABS,1043cc,Class 2,25/07/2015,24/07/2025 (2yrs 6mths 23days COE left),-,-,Street Bikes
25,Yamaha XSR900,SGD$21800,Paid Ad,Yamaha,Yamaha XSR900,847cc,Class 2,28/02/2018,27/02/2028 (5yrs 1mths 26days COE left),-,-,Street Bikes
26,Yamaha MT-15 Xabre,SGD$8900,Paid Ad,Yamaha,Yamaha MT-15 Xabre,150cc,Class 2B,12/04/2017,11/04/2027 (4yrs 3mths 10days COE left),-,-,Street Bikes
27,Suzuki GSX-R1000,SGD$4500,Paid Ad,Suzuki,Suzuki GSX-R1000,988cc,Class 2,11/08/2003,30/06/2023 (5mths 29days COE left),-,-,Sport Bikes
28,MV Agusta Dragster 800 RC,SGD$23888,Paid Ad,MV Agusta,MV Agusta Dragster 800 RC,798cc,Class 2,29/12/2017,28/12/2027 (4yrs 11mths 27days COE left),34189km,-,Street Bikes
29,Royal Enfield Meteor 350,SGD$17888,Paid Ad,Royal Enfield,Royal Enfield Meteor 350,350cc,Class 2A,31/08/2022,30/08/2032 (9yrs 7mths 29days COE left),1593km,-,Street Bikes
30,Honda CB150R ExMotion,SGD$9288,Paid Ad,Honda,Honda CB150R ExMotion,149cc,Class 2B,15/03/2018,14/03/2028 (5yrs 2mths 13days COE left),40065km,-,Street Bikes
31,Honda Forza 300,SGD$18888,Paid Ad,Honda,Honda Forza 300,279cc,Class 2A,17/05/2021,16/05/2031 (8yrs 4mths 15days COE left),21252km,-,Scooters
32,SYM Joyride 200i Evo,SGD$4800,Paid Ad,SYM,SYM Joyride 200i Evo,171cc,Class 2B,03/02/2015,02/02/2025 (2yrs 1mths 1days COE left),44470km,-,Scooters
33,Yamaha YZF-R15,SGD$10888,Paid Ad,Yamaha,Yamaha YZF-R15,155cc,Class 2B,03/08/2019,02/08/2029 (6yrs 7mths 1days COE left),74788km,-,Sport Bikes
34,Yamaha Aerox 155,SGD$11888,Paid Ad,Yamaha,Yamaha Aerox 155,155cc,Class 2B,14/01/2020,13/01/2030 (7yrs 12days COE left),148830km,-,Scooters
35,SYM GTS 200,SGD$13800,Paid Ad,SYM,SYM GTS 200,172cc,Class 2B,15/03/2012,14/03/2032 (9yrs 2mths 13days COE left),-,-,Scooters
36,Ducati Superbike 899 Panigale,SGD$22800,Paid Ad,Ducati,Ducati Superbike 899 Panigale,898cc,Class 2,08/07/2015,07/07/2025 (2yrs 6mths 6days COE left),14200km,2,Sport Bikes
37,SYM HD2 200I,SGD$5500,Paid Ad,SYM,SYM HD2 200I,172cc,Class 2B,18/09/2015,17/09/2025 (2yrs 8mths 16days COE left),10317km,4,Scooters
38,Suzuki GSX-R1300 Hayabusa,SGD$13500,Paid Ad,Suzuki,Suzuki GSX-R1300 Hayabusa,1299cc,Class 2,06/07/2007,31/03/2027 (4yrs 2mths 30days COE left),-,-,Sport Bikes
39,Kymco Downtown 200I,SGD$5700,Paid Ad,Kymco,Kymco Downtown 200I,199cc,Class 2B,10/06/2015,09/06/2025 (2yrs 5mths 8days COE left),17000km,2,Scooters
40,Honda PCX150,SGD$3388,Paid Ad,Honda,Honda PCX150,153cc,Class 2B,28/08/2014,27/08/2024 (1yrs 7mths 26days COE left),107629km,-,Scooters
41,BMW R1200GS Adventure,SGD$45800,Paid Ad,BMW,BMW R1200GS Adventure,1170cc,Class 2,22/09/2017,21/09/2027 (4yrs 8mths 20days COE left),38900km,1,Sport Tourers
42,Honda CB400 Super 4 Spec 3,SGD$6000,Paid Ad,Honda,Honda CB400 Super 4 Spec 3,399cc,Class 2A,23/03/2004,22/03/2024 (1yrs 2mths 21days COE left),158000km,8,Street Bikes
43,SYM Excel II 150,SGD$7300,Paid Ad,SYM,SYM Excel II 150,150cc,Class 2B,29/03/2012,28/03/2027 (4yrs 2mths 27days COE left),-,-,Scooters
44,BMW G310GS,SGD$13888,Paid Ad,BMW,BMW G310GS,313cc,Class 2A,18/07/2018,17/07/2028 (5yrs 6mths 16days COE left),29937km,1,Sport Tourers
45,Yamaha FZ8-S,SGD$8500,Paid Ad,Yamaha,Yamaha FZ8-S,779cc,Class 2A,27/02/2014,26/02/2024 (1yrs 1mths 25days COE left),80000km,3,Street Bikes
46,BMW S1000XR,SGD$23500,Paid Ad,BMW,BMW S1000XR,999cc,Class 2,28/01/2016,27/01/2026 (3yrs 26days COE left),-,-,Sport Tourers
47,Yamaha YZF-R15,SGD$13800,Paid Ad,Yamaha,Yamaha YZF-R15,155cc,Class 2B,10/04/2021,09/04/2031 (8yrs 3mths 8days COE left),19500km,1,Sport Bikes
48,KTM 390 Duke,SGD$3800,Paid Ad,KTM,KTM 390 Duke,373cc,Class 2A,26/05/2014,25/05/2024 (1yrs 4mths 24days COE left),-,3,Street Bikes
49,Suzuki GSX-S1000,SGD$12800,Paid Ad,Suzuki,Suzuki GSX-S1000,999cc,Class 2,30/10/2015,29/10/2025 (2yrs 9mths 28days COE left),-,1,Street Bikes
50,Honda Forza 300,SGD$14800,Paid Ad,Honda,Honda Forza 300,279cc,Class 2A,13/06/2019,12/06/2029 (6yrs 5mths 11days COE left),-,1,Scooters
51,Honda CB400 Super 4 Revo,SGD$7800,Paid Ad,Honda,Honda CB400 Super 4 Revo,399cc,Class 2A,24/10/2013,23/10/2023 (9mths 22days COE left),100000km,2,Street Bikes
52,Kawasaki ZX10R Ninja ABS,SGD$13800,Paid Ad,Kawasaki,Kawasaki ZX10R Ninja ABS,998cc,Class 2,12/09/2014,11/09/2024 (1yrs 8mths 10days COE left),99000km,1,Sport Bikes
53,Suzuki V-Strom 1000 ABS Adventure,SGD$10800,Paid Ad,Suzuki,Suzuki V-Strom 1000 ABS Adventure,1037cc,Class 2,14/10/2014,13/10/2024 (1yrs 9mths 12days COE left),-,-,Sport Tourers
54,Yamaha Tmax 530 DX,SGD$25888,Paid Ad,Yamaha,Yamaha Tmax 530 DX,530cc,Class 2,19/07/2019,18/07/2029 (6yrs 6mths 17days COE left),31369km,-,Scooters
55,Honda CB400X,SGD$9888,Paid Ad,Honda,Honda CB400X,399cc,Class 2A,02/07/2015,01/07/2025 (2yrs 6mths COE left),41000km,2,Sport Tourers
56,Yamaha Aerox 155,SGD$10800,Paid Ad,Yamaha,Yamaha Aerox 155,155cc,Class 2B,27/03/2019,26/03/2029 (6yrs 2mths 25days COE left),-,-,Scooters
57,Yamaha YZF-R15,SGD$9800,Paid Ad,Yamaha,Yamaha YZF-R15,155cc,Class 2B,31/01/2018,30/01/2028 (5yrs 29days COE left),71230km,-,Sport Bikes
58,Yamaha Jupiter MX135,SGD$8000,Paid Ad,Yamaha,Yamaha Jupiter MX135,134cc,Class 2B,18/10/2012,17/10/2027 (4yrs 9mths 16days COE left),60639km,-,Cubs
59,Honda CB400 Super 4 Revo,SGD$25800,Paid Ad,Honda,Honda CB400 Super 4 Revo,399cc,Class 2A,12/07/2021,11/07/2031 (8yrs 6mths 10days COE left),16800km,1,Street Bikes
60,Honda CB400X,SGD$5877,Paid Ad,Honda,Honda CB400X,399cc,Class 2A,05/11/2014,04/11/2024 (1yrs 10mths 3days COE left),166000km,1,Sport Tourers
61,Yamaha MT-03,SGD$9888,Paid Ad,Yamaha,Yamaha MT-03,321cc,Class 2A,22/11/2018,21/11/2028 (5yrs 10mths 20days COE left),45825km,1,Street Bikes
62,SYM Jet 14 200i ABS,SGD$9577,Paid Ad,SYM,SYM Jet 14 200i ABS,169cc,Class 2B,16/01/2019,15/01/2029 (6yrs 14days COE left),95000km,-,Scooters
63,Yamaha FJR1300,SGD$5800,Paid Ad,Yamaha,Yamaha FJR1300,1298cc,Class 2,29/06/2004,30/04/2024 (1yrs 3mths 29days COE left),120000km,2,Sport Tourers
64,Yamaha MT-15,SGD$11577,Paid Ad,Yamaha,Yamaha MT-15,155cc,Class 2B,11/12/2019,10/12/2029 (6yrs 11mths 9days COE left),43000km,1,Street Bikes
65,Suzuki Burgman 200,SGD$12800,Paid Ad,Suzuki,Suzuki Burgman 200,200cc,Class 2B,02/01/2020,01/01/2030 (7yrs COE left),38069km,1,Scooters
66,Honda ST1300A Pan-European,SGD$10888,Paid Ad,Honda,Honda ST1300A Pan-European,1261cc,Class 2,30/06/2006,29/06/2026 (3yrs 5mths 28days COE left),99590km,2,Sport Tourers
67,Royal Enfield Interceptor,SGD$19588,Paid Ad,Royal Enfield,Royal Enfield Interceptor,648cc,Class 2,01/06/2022,31/05/2032 (9yrs 4mths 30days COE left),13735km,-,Street Bikes
68,Honda CB200X,SGD$14588,Paid Ad,Honda,Honda CB200X,184cc,Class 2B,27/01/2022,26/01/2032 (9yrs 25days COE left),22534km,-,Sport Tourers
69,Honda CB150R ExMotion,SGD$13888,Paid Ad,Honda,Honda CB150R ExMotion,149cc,Class 2B,14/09/2020,13/09/2030 (7yrs 8mths 12days COE left),59032km,-,Street Bikes
70,Yamaha MW125 Tricity,SGD$4800,Paid Ad,Yamaha,Yamaha MW125 Tricity,125cc,Class 2B,14/03/2016,13/03/2026 (3yrs 2mths 12days COE left),120000km,3,Three Wheeler
71,Yamaha FJR1300,SGD$7500,Paid Ad,Yamaha,Yamaha FJR1300,1298cc,Class 2,03/03/2004,31/01/2024 (1yrs 30days COE left),-,-,Sport Tourers
72,Honda CB1000R,SGD$10800,Paid Ad,Honda,Honda CB1000R,998cc,Class 2,25/06/2013,24/06/2023 (5mths 23days COE left),80000km,2,Street Bikes
73,Vespa Sprint Sport 150 ABS,SGD$19500,Paid Ad,Vespa,Vespa Sprint Sport 150 ABS,155cc,Class 2B,15/04/2019,14/04/2029 (6yrs 3mths 13days COE left),10500km,1,Scooters
74,Suzuki Burgman 200 ABS,SGD$8900,Paid Ad,Suzuki,Suzuki Burgman 200 ABS,200cc,Class 2B,13/01/2017,12/01/2027 (4yrs 11days COE left),-,-,Scooters
75,Yamaha YZF-R3,SGD$16888,Paid Ad,Yamaha,Yamaha YZF-R3,321cc,Class 2A,20/12/2019,19/12/2029 (6yrs 11mths 18days COE left),22903km,-,Sport Bikes
76,Yamaha FZ8-N,SGD$16500,Paid Ad,Yamaha,Yamaha FZ8-N,779cc,Class 2,06/05/2011,05/05/2031 (8yrs 4mths 4days COE left),-,-,Street Bikes
77,Honda CB400X,SGD$13388,Paid Ad,Honda,Honda CB400X,399cc,Class 2A,30/01/2018,29/01/2028 (5yrs 28days COE left),78713km,1,Sport Tourers
78,Yamaha MT-09 Tracer GT,SGD$31800,Paid Ad,Yamaha,Yamaha MT-09 Tracer GT,847cc,Class 2,03/06/2019,02/06/2029 (6yrs 5mths 1days COE left),19500km,1,Street Bikes
79,Royal Enfield Classic 350,SGD$18800,Paid Ad,Royal Enfield,Royal Enfield Classic 350,349cc,Class 2A,29/07/2022,28/07/2032 (9yrs 6mths 27days COE left),2300km,-,Street Bikes
80,Yamaha YBR125,SGD$7500,Paid Ad,Yamaha,Yamaha YBR125,124cc,Class 2B,26/11/2012,30/09/2027 (4yrs 8mths 29days COE left),-,-,Street Bikes
81,Ducati Scrambler 1100 Sport,SGD$32800,Paid Ad,Ducati,Ducati Scrambler 1100 Sport,1079cc,Class 2,31/03/2020,30/03/2030 (7yrs 2mths 29days COE left),9300km,2,Street Bikes
82,Vespa Sprint Sport 150 ABS,SGD$20800,Paid Ad,Vespa,Vespa Sprint Sport 150 ABS,155cc,Class 2B,08/02/2022,07/02/2032 (9yrs 1mths 6days COE left),4500km,1,Scooters
83,Ducati Streetfighter 848,SGD$22777,Paid Ad,Ducati,Ducati Streetfighter 848,849cc,Class 2,09/03/2012,08/03/2032 (9yrs 2mths 7days COE left),36500km,3,Street Bikes
84,Honda Adv 150,SGD$16977,Paid Ad,Honda,Honda Adv 150,149cc,Class 2B,28/06/2022,27/06/2032 (9yrs 5mths 26days COE left),1634km,1,Scooters
85,Honda Monkey 125,SGD$11577,Paid Ad,Honda,Honda Monkey 125,125cc,Class 2B,27/11/2018,26/11/2028 (5yrs 10mths 25days COE left),500km,1,Street Bikes
86,Honda NC750XA,SGD$6000,Paid Ad,Honda,Honda NC750XA,745cc,Class 2,24/07/2014,23/07/2024 (1yrs 6mths 22days COE left),139372km,3,Sport Tourers
87,Yamaha Vixion R 155,SGD$9777,Paid Ad,Yamaha,Yamaha Vixion R 155,155cc,Class 2B,05/11/2019,04/11/2029 (6yrs 10mths 3days COE left),37786km,1,Street Bikes
88,Honda CB1000RA,SGD$23777,Paid Ad,Honda,Honda CB1000RA,998cc,Class 2,03/12/2018,02/12/2028 (5yrs 11mths 1days COE left),44200km,1,Street Bikes
89,Honda X-Adv 750,SGD$33777,Paid Ad,Honda,Honda X-Adv 750,745cc,Class 2,06/06/2019,05/06/2029 (6yrs 5mths 4days COE left),46000km,1,Scooters
90,MV Agusta F3 800,SGD$26877,Paid Ad,MV Agusta,MV Agusta F3 800,798cc,Class 2,07/12/2015,06/12/2025 (2yrs 11mths 5days COE left),2000km,1,Sport Bikes
91,BMW R18 Classic,SGD$57800,Paid Ad,BMW,BMW R18 Classic,1802cc,Class 2,03/08/2021,02/08/2031 (8yrs 7mths 1days COE left),2000km,1,Cruiser
92,Piaggio X10 350,SGD$3500,Paid Ad,Piaggio,Piaggio X10 350,330cc,Class 2A,26/07/2013,25/07/2023 (6mths 24days COE left),-,-,Scooters
93,Ducati Multistrada 950,SGD$43277,Paid Ad,Ducati,Ducati Multistrada 950,937cc,Class 2,30/12/2019,29/12/2029 (6yrs 11mths 28days COE left),31000km,1,Sport Tourers
94,Kawasaki ZX14R Ninja,SGD$9800,Paid Ad,Kawasaki,Kawasaki ZX14R Ninja,1441cc,Class 2,20/02/2014,19/02/2024 (1yrs 1mths 18days COE left),75000km,2,Sport Bikes
95,Yamaha MT-03,SGD$18500,Paid Ad,Yamaha,Yamaha MT-03,321cc,Class 2A,25/01/2021,24/01/2031 (8yrs 23days COE left),-,-,Street Bikes
96,Honda CB400X,SGD$11500,Paid Ad,Honda,Honda CB400X,399cc,Class 2A,05/11/2015,04/11/2025 (2yrs 10mths 3days COE left),107600km,-,Sport Tourers
97,Yamaha Aerox 155,SGD$13000,Paid Ad,Yamaha,Yamaha Aerox 155,155cc,Class 2B,28/06/2019,27/06/2029 (6yrs 5mths 26days COE left),-,-,Scooters
98,Suzuki GSX-R1300 Hayabusa,SGD$23000,Paid Ad,Suzuki,Suzuki GSX-R1300 Hayabusa,1340cc,Class 2,09/02/2012,31/08/2031 (8yrs 7mths 30days COE left),140635km,2,Sport Bikes
99,Yamaha FZN150i,SGD$6300,Paid Ad,Yamaha,Yamaha FZN150i,149cc,Class 2B,15/03/2016,14/03/2026 (3yrs 2mths 13days COE left),-,2,Street Bikes
100,Yamaha MT-09,SGD$9800,Paid Ad,Yamaha,Yamaha MT-09,847cc,Class 2,27/10/2014,26/10/2024 (1yrs 9mths 25days COE left),69589km,2,Street Bikes
101,Yamaha MT-15 Xabre,SGD$8000,Paid Ad,Yamaha,Yamaha MT-15 Xabre,150cc,Class 2B,12/09/2017,11/09/2027 (4yrs 8mths 10days COE left),67000km,1,Street Bikes
102,Yamaha MT-15 Xabre,SGD$8800,Paid Ad,Yamaha,Yamaha MT-15 Xabre,150cc,Class 2B,11/10/2017,10/10/2027 (4yrs 9mths 9days COE left),50000km,2,Street Bikes
103,Vespa SXL150,SGD$16000,Paid Ad,Vespa,Vespa SXL150,149cc,Class 2B,17/01/2022,16/01/2032 (9yrs 15days COE left),758km,1,Scooters
104,ZongShen ZS200 Zone One S,SGD$6910,Paid Ad,ZongShen,ZongShen ZS200 Zone One S,199cc,Class 2B,22/06/2018,21/06/2028 (5yrs 5mths 20days COE left),35100km,1,Street Bikes
105,Kawasaki Versys-X 300,SGD$20000,Paid Ad,Kawasaki,Kawasaki Versys-X 300,296cc,Class 2A,01/02/2021,31/01/2031 (8yrs 30days COE left),6000km,1,Sport Tourers
106,Honda CB400X,SGD$4500,Paid Ad,Honda,Honda CB400X,399cc,Class 2A,30/08/2013,29/08/2023 (7mths 28days COE left),-,2,Sport Tourers
107,BMW R NineT Scrambler,SGD$48800,Paid Ad,BMW,BMW R NineT Scrambler,1170cc,Class 2,30/08/2022,29/08/2032 (9yrs 7mths 28days COE left),500km,1,Street Bikes
108,Yamaha FZS150,SGD$10200,Paid Ad,Yamaha,Yamaha FZS150,149cc,Class 2B,27/07/2019,26/07/2029 (6yrs 6mths 25days COE left),39000km,1,Street Bikes
109,Honda CB190R,SGD$6900,Paid Ad,Honda,Honda CB190R,184cc,Class 2B,30/06/2017,29/06/2027 (4yrs 5mths 28days COE left),-,-,Street Bikes
110,Yamaha FZ150I,SGD$8500,Paid Ad,Yamaha,Yamaha FZ150I,150cc,Class 2B,21/05/2010,20/05/2030 (7yrs 4mths 19days COE left),-,-,Street Bikes
111,Yamaha Nmax 155,SGD$15309,Paid Ad,Yamaha,Yamaha Nmax 155,155cc,Class 2B,20/05/2021,19/05/2031 (8yrs 4mths 18days COE left),-,-,Scooters
112,Yamaha TW200,SGD$7500,Paid Ad,Yamaha,Yamaha TW200,196cc,Class 2B,01/08/2006,31/07/2026 (3yrs 6mths 30days COE left),-,-,Scrambler/Dirt Bike
113,Honda CBR150R,SGD$7950,Paid Ad,Honda,Honda CBR150R,150cc,Class 2B,06/01/2017,05/01/2027 (4yrs 4days COE left),4000km,1,Sport Bikes
114,Honda Wave 125,SGD$5800,Paid Ad,Honda,Honda Wave 125,125cc,Class 2B,07/11/2005,06/11/2025 (2yrs 10mths 5days COE left),52870km,-,Cubs
115,Honda CB400X,SGD$6800,Paid Ad,Honda,Honda CB400X,399cc,Class 2A,19/12/2013,18/12/2023 (11mths 17days COE left),-,-,Sport Tourers
116,Honda CBF190X Fighthawk,SGD$7500,Paid Ad,Honda,Honda CBF190X Fighthawk,184cc,Class 2B,01/06/2017,31/05/2027 (4yrs 4mths 30days COE left),146000km,3,Sport Tourers
117,Honda Forza 300,SGD$18500,Paid Ad,Honda,Honda Forza 300,279cc,Class 2A,31/12/2020,30/12/2030 (7yrs 11mths 29days COE left),-,-,Scooters
118,Honda PCX150,SGD$9300,Paid Ad,Honda,Honda PCX150,153cc,Class 2B,09/06/2017,08/06/2027 (4yrs 5mths 7days COE left),-,-,Scooters
119,Yamaha FZ16,SGD$7500,Paid Ad,Yamaha,Yamaha FZ16,153cc,Class 2B,05/07/2012,30/06/2027 (4yrs 5mths 29days COE left),20379km,2,Street Bikes
120,Yamaha YZF-R6,SGD$14800,Paid Ad,Yamaha,Yamaha YZF-R6,599cc,Class 2,27/02/2008,26/02/2028 (5yrs 1mths 25days COE left),-,-,Sport Bikes
121,Honda CB150R ExMotion,SGD$10800,Paid Ad,Honda,Honda CB150R ExMotion,149cc,Class 2B,18/10/2018,17/10/2028 (5yrs 9mths 16days COE left),57300km,-,Street Bikes
122,Honda Forza 300,SGD$14999,Paid Ad,Honda,Honda Forza 300,279cc,Class 2A,29/04/2019,28/04/2029 (6yrs 3mths 27days COE left),59202km,1,Scooters
123,MV Agusta Turismo Veloce Lusso 800,SGD$38888,Paid Ad,MV Agusta,MV Agusta Turismo Veloce Lusso 800,798cc,Class 2,01/10/2020,30/09/2030 (7yrs 8mths 29days COE left),5446km,-,Sport Tourers
124,Yamaha MT-10 SP,SGD$32800,Paid Ad,Yamaha,Yamaha MT-10 SP,998cc,Class 2,13/02/2019,12/02/2029 (6yrs 1mths 11days COE left),9867km,1,Street Bikes
125,Honda Adv 150,SGD$12288,Paid Ad,Honda,Honda Adv 150,149cc,Class 2B,30/06/2020,29/06/2030 (7yrs 5mths 28days COE left),72800km,1,Scooters
126,Mutt GT-SS 250,SGD$16288,Paid Ad,Mutt,Mutt GT-SS 250,250cc,Class 2A,19/11/2020,18/11/2030 (7yrs 10mths 17days COE left),7000km,1,Street Bikes
127,Yamaha WR155R,SGD$13800,Paid Ad,Yamaha,Yamaha WR155R,155cc,Class 2B,02/08/2021,01/08/2031 (8yrs 7mths COE left),9852km,1,Scrambler/Dirt Bike
128,Honda CB400 Super 4 Project Big,SGD$5800,Paid Ad,Honda,Honda CB400 Super 4 Project Big,399cc,Class 2A,17/09/1993,30/09/2024 (1yrs 8mths 29days COE left),260000km,-,Street Bikes
129,Yamaha FZ16 ST,SGD$4000,Paid Ad,Yamaha,Yamaha FZ16 ST,153cc,Class 2B,21/08/2014,20/08/2024 (1yrs 7mths 19days COE left),-,3,Street Bikes
130,Harley Davidson Fat Bob 114,SGD$49900,Paid Ad,Harley Davidson,Harley Davidson Fat Bob 114,1868cc,Class 2,16/12/2021,15/12/2031 (8yrs 11mths 14days COE left),2900km,1,Cruiser
131,Kawasaki Z750,SGD$11200,Paid Ad,Kawasaki,Kawasaki Z750,748cc,Class 2,16/05/2008,15/05/2028 (5yrs 4mths 14days COE left),179432km,3,Street Bikes
132,Honda CB350 Hness,SGD$17500,Paid Ad,Honda,Honda CB350 Hness,348cc,Class 2A,30/09/2021,29/09/2031 (8yrs 8mths 28days COE left),1700km,1,Street Bikes
133,MV Agusta Dragster 800,SGD$22999,Paid Ad,MV Agusta,MV Agusta Dragster 800,798cc,Class 2,08/08/2016,07/08/2026 (3yrs 7mths 6days COE left),18755km,1,Street Bikes
134,Honda CB400 Super 4 Revo,SGD$18500,Paid Ad,Honda,Honda CB400 Super 4 Revo,399cc,Class 2A,25/04/2012,23/04/2032 (9yrs 3mths 22days COE left),-,-,Street Bikes
135,Yamaha FZN150i,SGD$5800,Paid Ad,Yamaha,Yamaha FZN150i,149cc,Class 2B,04/03/2015,03/03/2025 (2yrs 2mths 2days COE left),-,-,Street Bikes
136,Lambretta V200 Special,SGD$10800,Paid Ad,Lambretta,Lambretta V200 Special,169cc,Class 2B,01/04/2019,31/03/2029 (6yrs 2mths 30days COE left),38236km,1,Scooters
137,Yamaha Aerox 155,SGD$13000,Paid Ad,Yamaha,Yamaha Aerox 155,155cc,Class 2B,09/09/2019,08/09/2029 (6yrs 8mths 7days COE left),20200km,1,Scooters
138,Yamaha Sniper 155,SGD$14500,Paid Ad,Yamaha,Yamaha Sniper 155,155cc,Class 2B,08/02/2022,07/02/2032 (9yrs 1mths 6days COE left),25626km,-,Cubs
139,Honda NC700XA,SGD$17777,Paid Ad,Honda,Honda NC700XA,670cc,Class 2,06/06/2012,05/06/2032 (9yrs 5mths 4days COE left),130000km,1,Sport Tourers
140,Yamaha FZ8-N,SGD$8800,Paid Ad,Yamaha,Yamaha FZ8-N,779cc,Class 2,22/07/2013,21/07/2023 (6mths 20days COE left),63543km,2,Street Bikes
141,KTM 350 EXC-F,SGD$8000,Paid Ad,KTM,KTM 350 EXC-F,347cc,Class 2A,13/08/2013,12/08/2023 (7mths 11days COE left),-,1,Scrambler/Dirt Bike
142,Kawasaki Z650,SGD$19800,Paid Ad,Kawasaki,Kawasaki Z650,649cc,Class 2,11/07/2019,10/07/2029 (6yrs 6mths 9days COE left),37743km,1,Street Bikes
