,year,Brand,no. of motorcycles
0,2005,adiva,0
1,2005,aprilia,1075
2,2005,bmw,610
3,2005,bsa,12
4,2005,bajaj,198
5,2005,benelli,71
6,2005,bimota,6
7,2005,cagiva,186
8,2005,can-am,0
9,2005,chunlan,39
10,2005,cosa,413
11,2005,cpi,0
12,2005,daelim,2755
13,2005,derbi,0
14,2005,ducati,319
15,2005,emax,0
16,2005,gas gas,53
17,2005,harley davidson,892
18,2005,hartford,9
19,2005,honda,65881
20,2005,husqvarna,36
21,2005,hyosung,404
22,2005,italjet,41
23,2005,ktm,701
24,2005,kawasaki,4129
25,2005,keeway,0
26,2005,kymco,784
27,2005,lambretta,17
28,2005,lml,630
29,2005,mv agusta,0
30,2005,mv augusta,11
31,2005,megelli,0
32,2005,mle,0
33,2005,modenas,359
34,2005,moto guzzi,20
35,2005,norton,20
36,2005,pgo,199
37,2005,paijifa,10
38,2005,peugeot,0
39,2005,piaggio,6863
40,2005,regal-raptor,0
41,2005,rieju,0
42,2005,royal enfield,0
43,2005,sachs,0
44,2005,sacin,0
45,2005,sang yang,15
46,2005,sanyang,262
47,2005,sipstar,27
48,2005,suzuki,8297
49,2005,sym,722
50,2005,tgb,0
51,2005,tgb,9
52,2005,tiger,66
53,2005,triumph,48
54,2005,tvs,0
55,2005,vespa,7012
56,2005,vincent,0
57,2005,yamaha,35955
58,2005,zipstar,0
59,2005,zongshen,239
60,2005,others,39
61,2006,adiva,0
62,2006,aprilia,1075
63,2006,bmw,632
64,2006,bsa,21
65,2006,bajaj,754
66,2006,benelli,70
67,2006,bimota,6
68,2006,cagiva,167
69,2006,can-am,0
70,2006,chunlan,34
71,2006,cosa,320
72,2006,cpi,0
73,2006,daelim,2618
74,2006,derbi,0
75,2006,ducati,355
76,2006,emax,0
77,2006,gas gas,46
78,2006,harley davidson,1005
79,2006,hartford,7
80,2006,honda,66879
81,2006,husqvarna,50
82,2006,hyosung,405
83,2006,italjet,29
84,2006,ktm,694
85,2006,kawasaki,4106
86,2006,keeway,0
87,2006,kymco,819
88,2006,lambretta,17
89,2006,lml,635
90,2006,mv agusta,20
91,2006,mv augusta,0
92,2006,megelli,0
93,2006,mle,0
94,2006,modenas,348
95,2006,moto guzzi,20
96,2006,norton,21
97,2006,pgo,202
98,2006,paijifa,9
99,2006,peugeot,0
100,2006,piaggio,7452
101,2006,regal-raptor,0
102,2006,rieju,0
103,2006,royal enfield,20
104,2006,sachs,0
105,2006,sacin,0
106,2006,sang yang,15
107,2006,sanyang,219
108,2006,sipstar,0
109,2006,suzuki,8179
110,2006,sym,1027
111,2006,tgb,0
112,2006,tgb,8
113,2006,tiger,47
114,2006,triumph,72
115,2006,tvs,0
116,2006,vespa,6404
117,2006,vincent,0
118,2006,yamaha,37640
119,2006,zipstar,25
120,2006,zongshen,229
121,2006,others,35
122,2007,adiva,0
123,2007,aprilia,1050
124,2007,bmw,652
125,2007,bsa,21
126,2007,bajaj,1102
127,2007,benelli,75
128,2007,bimota,6
129,2007,cagiva,142
130,2007,can-am,0
131,2007,chunlan,25
132,2007,cosa,265
133,2007,cpi,0
134,2007,daelim,2375
135,2007,derbi,0
136,2007,ducati,436
137,2007,emax,0
138,2007,gas gas,37
139,2007,harley davidson,1115
140,2007,hartford,5
141,2007,honda,67340
142,2007,husqvarna,54
143,2007,hyosung,349
144,2007,italjet,18
145,2007,ktm,691
146,2007,kawasaki,4042
147,2007,keeway,0
148,2007,kymco,821
149,2007,lambretta,17
150,2007,lml,585
151,2007,mv agusta,25
152,2007,mv augusta,0
153,2007,megelli,0
154,2007,mle,0
155,2007,modenas,334
156,2007,moto guzzi,28
157,2007,norton,21
158,2007,pgo,208
159,2007,paijifa,8
160,2007,peugeot,0
161,2007,piaggio,7712
162,2007,regal-raptor,0
163,2007,rieju,0
164,2007,royal enfield,29
165,2007,sachs,0
166,2007,sacin,0
167,2007,sang yang,15
168,2007,sanyang,195
169,2007,sipstar,0
170,2007,suzuki,8227
171,2007,sym,1203
172,2007,tgb,0
173,2007,tgb,5
174,2007,tiger,36
175,2007,triumph,91
176,2007,tvs,0
177,2007,vespa,5917
178,2007,vincent,0
179,2007,yamaha,38806
180,2007,zipstar,20
181,2007,zongshen,206
182,2007,others,31
183,2008,adiva,10
184,2008,aprilia,1033
185,2008,bmw,706
186,2008,bsa,21
187,2008,bajaj,1587
188,2008,benelli,72
189,2008,bimota,6
190,2008,cagiva,110
191,2008,can-am,0
192,2008,chunlan,21
193,2008,cosa,225
194,2008,cpi,11
195,2008,daelim,2120
196,2008,derbi,6
197,2008,ducati,521
198,2008,emax,0
199,2008,gas gas,27
200,2008,harley davidson,1200
201,2008,hartford,5
202,2008,honda,67459
203,2008,husqvarna,74
204,2008,hyosung,294
205,2008,italjet,16
206,2008,ktm,690
207,2008,kawasaki,4005
208,2008,keeway,0
209,2008,kymco,886
210,2008,lambretta,17
211,2008,lml,556
212,2008,mv agusta,25
213,2008,mv augusta,0
214,2008,megelli,0
215,2008,mle,0
216,2008,modenas,304
217,2008,moto guzzi,33
218,2008,norton,19
219,2008,pgo,219
220,2008,paijifa,8
221,2008,peugeot,0
222,2008,piaggio,7866
223,2008,regal-raptor,0
224,2008,rieju,0
225,2008,royal enfield,41
226,2008,sachs,130
227,2008,sacin,0
228,2008,sang yang,14
229,2008,sanyang,181
230,2008,sipstar,0
231,2008,suzuki,8403
232,2008,sym,1420
233,2008,tgb,0
234,2008,tgb,0
235,2008,tiger,31
236,2008,triumph,126
237,2008,tvs,0
238,2008,vespa,5536
