,motor_name,motor_price,Brand,model,engine_cap_x,classification,type_of_vehicle,Model,Year,Category,engine_cap_y,Power (hp),Engine cylinder,Engine stroke,Gearbox,Fuel capacity (lts),Transmission type,Front brakes,Rear brakes,Front suspension,Rear suspension
11,Honda VFR800X CrossRunner,13800,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers,vfr800x crossrunner,2019,Sport touring,782.0,104.0,V4, four-stroke,6-speed,20.8,Chain,Double disc. ABS. Floating discs. Hydraulic. Four-piston calipers. ,Single disc. ABS. Hydraulic. Two-piston calipers. ,"43mm HMAS cartridge-type telescopic fork with stepless preload and ten DF adjustment, 108mm axle travel","Pro-Link with gas-charged HMAS damper, 7-step (stepless remote-controlled hydraulic) preload and stepless rebound damping adjustment, 120mm axle travel"
12,Honda VFR800X CrossRunner,15888,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers,vfr800x crossrunner,2015,Sport touring,782.0,107.0,V4, four-stroke,6-speed,20.8,Chain,Double disc. ABS. Floating discs. Hydraulic. Four-piston calipers. ,Single disc. ABS. Hydraulic. Two-piston calipers. ,"43mm HMAS cartridge-type telescopic fork with stepless preload and ten DF adjustment, 108mm axle travel","Pro-Link with gas-charged HMAS damper, 7-step (stepless remote-controlled hydraulic) preload and stepless rebound damping adjustment, 120mm axle travel"
13,Honda VFR800X CrossRunner,15888,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers,vfr800x crossrunner,2017,Sport touring,782.0,107.0,V4, four-stroke,6-speed,20.8,Chain,Double disc. ABS. Floating discs. Hydraulic. Four-piston calipers. ,Single disc. ABS. Hydraulic. Two-piston calipers. ,"43mm HMAS cartridge-type telescopic fork with stepless preload and ten DF adjustment, 108mm axle travel","Pro-Link with gas-charged HMAS damper, 7-step (stepless remote-controlled hydraulic) preload and stepless rebound damping adjustment, 120mm axle travel"
14,Honda VFR800X CrossRunner,15888,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers,vfr800x crossrunner,2018,Sport touring,782.0,107.0,V4, four-stroke,6-speed,20.8,Chain,Double disc. ABS. Floating discs. Hydraulic. Four-piston calipers. ,Single disc. ABS. Hydraulic. Two-piston calipers. ,"43mm HMAS cartridge-type telescopic fork with stepless preload and ten DF adjustment, 108mm axle travel","Pro-Link with gas-charged HMAS damper, 7-step (stepless remote-controlled hydraulic) preload and stepless rebound damping adjustment, 120mm axle travel"
15,Honda VFR800X CrossRunner,15888,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers,vfr800x crossrunner,2019,Sport touring,782.0,104.0,V4, four-stroke,6-speed,20.8,Chain,Double disc. ABS. Floating discs. Hydraulic. Four-piston calipers. ,Single disc. ABS. Hydraulic. Two-piston calipers. ,"43mm HMAS cartridge-type telescopic fork with stepless preload and ten DF adjustment, 108mm axle travel","Pro-Link with gas-charged HMAS damper, 7-step (stepless remote-controlled hydraulic) preload and stepless rebound damping adjustment, 120mm axle travel"
16,Honda VFR800X CrossRunner,13800,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers,vfr800x crossrunner,2015,Sport touring,782.0,107.0,V4, four-stroke,6-speed,20.8,Chain,Double disc. ABS. Floating discs. Hydraulic. Four-piston calipers. ,Single disc. ABS. Hydraulic. Two-piston calipers. ,"43mm HMAS cartridge-type telescopic fork with stepless preload and ten DF adjustment, 108mm axle travel","Pro-Link with gas-charged HMAS damper, 7-step (stepless remote-controlled hydraulic) preload and stepless rebound damping adjustment, 120mm axle travel"
17,Honda VFR800X CrossRunner,13800,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers,vfr800x crossrunner,2017,Sport touring,782.0,107.0,V4, four-stroke,6-speed,20.8,Chain,Double disc. ABS. Floating discs. Hydraulic. Four-piston calipers. ,Single disc. ABS. Hydraulic. Two-piston calipers. ,"43mm HMAS cartridge-type telescopic fork with stepless preload and ten DF adjustment, 108mm axle travel","Pro-Link with gas-charged HMAS damper, 7-step (stepless remote-controlled hydraulic) preload and stepless rebound damping adjustment, 120mm axle travel"
18,Honda VFR800X CrossRunner,13800,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers,vfr800x crossrunner,2018,Sport touring,782.0,107.0,V4, four-stroke,6-speed,20.8,Chain,Double disc. ABS. Floating discs. Hydraulic. Four-piston calipers. ,Single disc. ABS. Hydraulic. Two-piston calipers. ,"43mm HMAS cartridge-type telescopic fork with stepless preload and ten DF adjustment, 108mm axle travel","Pro-Link with gas-charged HMAS damper, 7-step (stepless remote-controlled hydraulic) preload and stepless rebound damping adjustment, 120mm axle travel"
19,Honda VFR800X CrossRunner,13800,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers,vfr800x crossrunner,2019,Sport touring,782.0,104.0,V4, four-stroke,6-speed,20.8,Chain,Double disc. ABS. Floating discs. Hydraulic. Four-piston calipers. ,Single disc. ABS. Hydraulic. Two-piston calipers. ,"43mm HMAS cartridge-type telescopic fork with stepless preload and ten DF adjustment, 108mm axle travel","Pro-Link with gas-charged HMAS damper, 7-step (stepless remote-controlled hydraulic) preload and stepless rebound damping adjustment, 120mm axle travel"
20,Honda VFR800X CrossRunner,23600,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers,vfr800x crossrunner,2015,Sport touring,782.0,107.0,V4, four-stroke,6-speed,20.8,Chain,Double disc. ABS. Floating discs. Hydraulic. Four-piston calipers. ,Single disc. ABS. Hydraulic. Two-piston calipers. ,"43mm HMAS cartridge-type telescopic fork with stepless preload and ten DF adjustment, 108mm axle travel","Pro-Link with gas-charged HMAS damper, 7-step (stepless remote-controlled hydraulic) preload and stepless rebound damping adjustment, 120mm axle travel"
