,motor_name,motor_price,Brand,model,engine_cap,classification,type_of_vehicle
56,Yamaha Aerox 155,10800,yamaha,Yamaha Aerox 155,155,Class 2B,Scooters
57,Yamaha YZF-R15,9800,yamaha,Yamaha YZF-R15,155,Class 2B,Sport Bikes
58,Yamaha Jupiter MX135,8000,yamaha,Yamaha Jupiter MX135,134,Class 2B,Cubs
59,Honda CB400 Super 4 Revo,25800,honda,Honda CB400 Super 4 Revo,399,Class 2A,Street Bikes
60,Honda CB400X,5877,honda,Honda CB400X,399,Class 2A,Sport Tourers
61,Yamaha MT-03,9888,yamaha,Yamaha MT-03,321,Class 2A,Street Bikes
62,SYM Jet 14 200i ABS,9577,sym,SYM Jet 14 200i ABS,169,Class 2B,Scooters
63,Yamaha FJR1300,5800,yamaha,Yamaha FJR1300,1298,Class 2,Sport Tourers
64,Yamaha MT-15,11577,yamaha,Yamaha MT-15,155,Class 2B,Street Bikes
65,Suzuki Burgman 200,12800,suzuki,Suzuki Burgman 200,200,Class 2B,Scooters
66,Honda ST1300A Pan-European,10888,honda,Honda ST1300A Pan-European,1261,Class 2,Sport Tourers
67,Royal Enfield Interceptor,19588,royal enfield,Royal Enfield Interceptor,648,Class 2,Street Bikes
68,Honda CB200X,14588,honda,Honda CB200X,184,Class 2B,Sport Tourers
69,Honda CB150R ExMotion,13888,honda,Honda CB150R ExMotion,149,Class 2B,Street Bikes
70,Yamaha MW125 Tricity,4800,yamaha,Yamaha MW125 Tricity,125,Class 2B,Three Wheeler
71,Yamaha FJR1300,7500,yamaha,Yamaha FJR1300,1298,Class 2,Sport Tourers
72,Honda CB1000R,10800,honda,Honda CB1000R,998,Class 2,Street Bikes
73,Vespa Sprint Sport 150 ABS,19500,vespa,Vespa Sprint Sport 150 ABS,155,Class 2B,Scooters
74,Suzuki Burgman 200 ABS,8900,suzuki,Suzuki Burgman 200 ABS,200,Class 2B,Scooters
75,Yamaha YZF-R3,16888,yamaha,Yamaha YZF-R3,321,Class 2A,Sport Bikes
76,Yamaha FZ8-N,16500,yamaha,Yamaha FZ8-N,779,Class 2,Street Bikes
77,Honda CB400X,13388,honda,Honda CB400X,399,Class 2A,Sport Tourers
78,Yamaha MT-09 Tracer GT,31800,yamaha,Yamaha MT-09 Tracer GT,847,Class 2,Street Bikes
79,Royal Enfield Classic 350,18800,royal enfield,Royal Enfield Classic 350,349,Class 2A,Street Bikes
80,Yamaha YBR125,7500,yamaha,Yamaha YBR125,124,Class 2B,Street Bikes
81,Ducati Scrambler 1100 Sport,32800,ducati,Ducati Scrambler 1100 Sport,1079,Class 2,Street Bikes
82,Vespa Sprint Sport 150 ABS,20800,vespa,Vespa Sprint Sport 150 ABS,155,Class 2B,Scooters
83,Ducati Streetfighter 848,22777,ducati,Ducati Streetfighter 848,849,Class 2,Street Bikes
84,Honda Adv 150,16977,honda,Honda Adv 150,149,Class 2B,Scooters
85,Honda Monkey 125,11577,honda,Honda Monkey 125,125,Class 2B,Street Bikes
86,Honda NC750XA,6000,honda,Honda NC750XA,745,Class 2,Sport Tourers
87,Yamaha Vixion R 155,9777,yamaha,Yamaha Vixion R 155,155,Class 2B,Street Bikes
88,Honda CB1000RA,23777,honda,Honda CB1000RA,998,Class 2,Street Bikes
89,Honda X-Adv 750,33777,honda,Honda X-Adv 750,745,Class 2,Scooters
90,MV Agusta F3 800,26877,mv agusta,MV Agusta F3 800,798,Class 2,Sport Bikes
91,BMW R18 Classic,57800,bmw,BMW R18 Classic,1802,Class 2,Cruiser
92,Piaggio X10 350,3500,piaggio,Piaggio X10 350,330,Class 2A,Scooters
93,Ducati Multistrada 950,43277,ducati,Ducati Multistrada 950,937,Class 2,Sport Tourers
94,Kawasaki ZX14R Ninja,9800,kawasaki,Kawasaki ZX14R Ninja,1441,Class 2,Sport Bikes
95,Yamaha MT-03,18500,yamaha,Yamaha MT-03,321,Class 2A,Street Bikes
96,Honda CB400X,11500,honda,Honda CB400X,399,Class 2A,Sport Tourers
97,Yamaha Aerox 155,13000,yamaha,Yamaha Aerox 155,155,Class 2B,Scooters
98,Suzuki GSX-R1300 Hayabusa,23000,suzuki,Suzuki GSX-R1300 Hayabusa,1340,Class 2,Sport Bikes
99,Yamaha FZN150i,6300,yamaha,Yamaha FZN150i,149,Class 2B,Street Bikes
100,Yamaha MT-09,9800,yamaha,Yamaha MT-09,847,Class 2,Street Bikes
101,Yamaha MT-15 Xabre,8000,yamaha,Yamaha MT-15 Xabre,150,Class 2B,Street Bikes
102,Yamaha MT-15 Xabre,8800,yamaha,Yamaha MT-15 Xabre,150,Class 2B,Street Bikes
