,motor_name,motor_price,Brand,model,engine_cap,classification,type_of_vehicle
284,MV Agusta Brutale 800,29888,mv agusta,MV Agusta Brutale 800,798,Class 2,Street Bikes
285,Honda NC750X,6200,honda,Honda NC750X,745,Class 2,Sport Tourers
286,Yamaha MT-15,13800,yamaha,Yamaha MT-15,155,Class 2B,Street Bikes
287,Honda CB150R ExMotion,13800,honda,Honda CB150R ExMotion,149,Class 2B,Street Bikes
288,Vespa SPRI,8888,vespa,Vespa SPRI,150,Class 2B,Scooters
289,Honda CB350 Hness,19500,honda,Honda CB350 Hness,348,Class 2A,Street Bikes
290,Honda CB150R ExMotion,11500,honda,Honda CB150R ExMotion,149,Class 2B,Street Bikes
291,Honda RS150R Winner,9500,honda,Honda RS150R Winner,149,Class 2B,Cubs
292,Honda Adv 150,12800,honda,Honda Adv 150,149,Class 2B,Scooters
293,Kawasaki ZG1400GTR Concours,25800,kawasaki,Kawasaki ZG1400GTR Concours,1352,Class 2,Sport Tourers
294,SYM Maxsym 400i,5500,sym,SYM Maxsym 400i,400,Class 2A,Scooters
295,Ducati Scrambler Mach 2.0,25000,ducati,Ducati Scrambler Mach 2.0,803,Class 2,Street Bikes
296,MV Agusta Turismo Veloce Lusso 800,41888,mv agusta,MV Agusta Turismo Veloce Lusso 800,798,Class 2,Sport Tourers
297,Yamaha Aerox 155,11388,yamaha,Yamaha Aerox 155,155,Class 2B,Scooters
298,Honda VFR800X CrossRunner,13800,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers
299,Kawasaki Versys-X 300,16577,kawasaki,Kawasaki Versys-X 300,296,Class 2A,Sport Tourers
300,Honda CB400F,5800,honda,Honda CB400F,399,Class 2A,Street Bikes
301,Honda CB400X,11800,honda,Honda CB400X,399,Class 2B,Sport Tourers
302,Honda CB400 Super 4 Revo,15800,honda,Honda CB400 Super 4 Revo,399,Class 2A,Street Bikes
303,Yamaha Sniper 150,9300,yamaha,Yamaha Sniper 150,150,Class 2B,Cubs
304,Kawasaki Z800,6888,kawasaki,Kawasaki Z800,806,Class 2,Street Bikes
305,Suzuki GSR750,7500,suzuki,Suzuki GSR750,749,Class 2,Street Bikes
306,Piaggio MP3 Yourban 300,11500,piaggio,Piaggio MP3 Yourban 300,278,Class 2A,Three Wheeler
307,Kawasaki ZX10R Ninja,47800,kawasaki,Kawasaki ZX10R Ninja,998,Class 2,Sport Bikes
308,BMW S1000R,18800,bmw,BMW S1000R,999,Class 2,Street Bikes
309,Honda Wave 125,2100,honda,Honda Wave 125,125,Class 2B,Cubs
310,Honda Supra GTR150,10500,honda,Honda Supra GTR150,149,Class 2B,Cubs
311,Honda CB125R,9800,honda,Honda CB125R,125,Class 2B,Street Bikes
312,KTM 1290 Super Duke R,15888,ktm,KTM 1290 Super Duke R,1301,Class 2,Street Bikes
313,Yamaha Aerox 155,9300,yamaha,Yamaha Aerox 155,155,Class 2B,Scooters
314,Gilera ST200 Runner,2800,gilera,Gilera ST200 Runner,198,Class 2B,Scooters
315,Suzuki GSX-S1000,13800,suzuki,Suzuki GSX-S1000,999,Class 2,Street Bikes
316,Ducati SuperSport S,46800,ducati,Ducati SuperSport S,937,Class 2,Sport Bikes
317,BMW F850GS,30500,bmw,BMW F850GS,853,Class 2,Sport Tourers
318,Honda CB150R ExMotion,12000,honda,Honda CB150R ExMotion,149,Class 2B,Street Bikes
319,Ducati Scrambler Nightshift,30800,ducati,Ducati Scrambler Nightshift,803,Class 2,Street Bikes
320,Yamaha FZ16,6777,yamaha,Yamaha FZ16,153,Class 2B,Street Bikes
321,SYM Joymax 300i,1700,sym,SYM Joymax 300i,264,Class 2A,Scooters
322,Yamaha MT-15 Xabre,8500,yamaha,Yamaha MT-15 Xabre,150,Class 2B,Street Bikes
323,MV Agusta Stradale 800,15500,mv agusta,MV Agusta Stradale 800,798,Class 2,Street Bikes
324,Honda NC750XA,23800,honda,Honda NC750XA,745,Class 2,Sport Tourers
325,BMW R18 Classic,56800,bmw,BMW R18 Classic,1802,Class 2,Cruiser
326,BMW R NineT Scrambler,32800,bmw,BMW R NineT Scrambler,1170,Class 2,Street Bikes
327,Yamaha X1-R 135,14500,yamaha,Yamaha X1-R 135,135,Class 2B,Cubs
328,Yamaha Aerox 155,12000,yamaha,Yamaha Aerox 155,155,Class 2B,Scooters
329,Honda CRF1000A Africa Twin,22900,honda,Honda CRF1000A Africa Twin,998,Class 2,Sport Tourers
330,CFMoto 700CL-X Sport,23999,cfmoto,CFMoto 700CL-X Sport,693,Class 2,Street Bikes
331,Yamaha XA125 Cygnus,2800,yamaha,Yamaha XA125 Cygnus,125,Class 2B,Scooters
332,Honda CB150R ExMotion,10800,honda,Honda CB150R ExMotion,149,Class 2B,Street Bikes
333,Honda Adv 150,14500,honda,Honda Adv 150,149,Class 2B,Scooters
334,Honda PCX150,10500,honda,Honda PCX150,153,Class 2B,Scooters
335,Honda TA200 Phantom,3000,honda,Honda TA200 Phantom,197,Class 2B,Cruiser
336,Honda NC750X,13800,honda,Honda NC750X,745,Class 2,Sport Tourers
337,Lambretta V200 Special,13000,lambretta,Lambretta V200 Special,169,Class 2B,Scooters
338,BMW R NineT,53000,bmw,BMW R NineT,1170,Class 2,Street Bikes
339,BMW R NineT,46888,bmw,BMW R NineT,1170,Class 2,Street Bikes
340,Honda CB400X,8800,honda,Honda CB400X,399,Class 2A,Sport Tourers
341,Yamaha RXZ,18000,yamaha,Yamaha RXZ,133,Class 2B,Street Bikes
342,BMW F750GS,44800,bmw,BMW F750GS,853,Class 2,Sport Tourers
343,Honda Wave 125,11500,honda,Honda Wave 125,125,Class 2B,Cubs
344,Honda CBR500R,6800,honda,Honda CBR500R,471,Class 2,Sport Bikes
345,BMW R NineT,49800,bmw,BMW R NineT,1170,Class 2,Street Bikes
346,BMW F900R,39000,bmw,BMW F900R,895,Class 2,Street Bikes
347,Yamaha MT-03,9800,yamaha,Yamaha MT-03,321,Class 2A,Street Bikes
348,SYM GTS 200,3500,sym,SYM GTS 200,172,Class 2B,Scooters
349,Honda Adv 150,15688,honda,Honda Adv 150,149,Class 2B,Scooters
350,Yamaha FZN150i,5500,yamaha,Yamaha FZN150i,149,Class 2B,Street Bikes
351,Honda PCX160,14688,honda,Honda PCX160,156,Class 2B,Scooters
352,Yamaha Tmax 530,14800,yamaha,Yamaha Tmax 530,530,Class 2,Scooters
353,BMW S1000R,56800,bmw,BMW S1000R,999,Class 2,Street Bikes
354,Honda Wave 125,7588,honda,Honda Wave 125,125,Class 2B,Cubs
355,Honda CB400X,17800,honda,Honda CB400X,399,Class 2A,Sport Tourers
356,Yamaha YZF-R3,17088,yamaha,Yamaha YZF-R3,321,Class 2A,Sport Bikes
357,SYM Joyride 200i Evo,7950,sym,SYM Joyride 200i Evo,171,Class 2B,Scooters
358,SYM Joyride S200i,12800,sym,SYM Joyride S200i,175,Class 2B,Scooters
359,Honda CB1000RA,13800,honda,Honda CB1000RA,998,Class 2,Street Bikes
360,Honda CB400 Super 4 Revo,16800,honda,Honda CB400 Super 4 Revo,399,Class 2A,Street Bikes
361,BMW F800GS,9500,bmw,BMW F800GS,798,Class 2,Sport Tourers
362,Honda Wave 125,13888,honda,Honda Wave 125,125,Class 2B,Cubs
363,Yamaha FZ16 ST,7222,yamaha,Yamaha FZ16 ST,153,Class 2B,Street Bikes
364,Yamaha FZ16 ST,7400,yamaha,Yamaha FZ16 ST,153,Class 2B,Street Bikes
365,Kawasaki Versys 1000,14800,kawasaki,Kawasaki Versys 1000,1043,Class 2,Sport Tourers
366,Ducati Hypermotard 796,15800,ducati,Ducati Hypermotard 796,803,Class 2,Super Motards
367,Yamaha XG250 Tricker,10000,yamaha,Yamaha XG250 Tricker,249,Class 2A,Scrambler/Dirt Bike
368,Yamaha MT-07,7555,yamaha,Yamaha MT-07,689,Class 2,Street Bikes
369,Harley Davidson Iron 883,27400,harley davidson,Harley Davidson Iron 883,883,Class 2,Cruiser
370,Yamaha Xmax 300,17500,yamaha,Yamaha Xmax 300,292,Class 2A,Scooters
371,Yamaha FZ8-N,4900,yamaha,Yamaha FZ8-N,779,Class 2,Street Bikes
372,MV Agusta Brutale 800 RR,42888,mv agusta,MV Agusta Brutale 800 RR,798,Class 2,Street Bikes
373,Honda CB1300SA,12500,honda,Honda CB1300SA,1284,Class 2,Street Bikes
374,Triumph Tiger 1050,11000,triumph,Triumph Tiger 1050,1050,Class 2,Sport Tourers
375,Yamaha YZF-R15,7800,yamaha,Yamaha YZF-R15,150,Class 2B,Street Bikes
376,Ducati Monster 1100S,19500,ducati,Ducati Monster 1100S,1079,Class 2,Street Bikes
377,Yamaha Nmax 155,17500,yamaha,Yamaha Nmax 155,155,Class 2B,Scooters
378,Ducati Monster 796,19500,ducati,Ducati Monster 796,803,Class 2,Street Bikes
379,Harley Davidson Fat Boy 114,59800,harley davidson,Harley Davidson Fat Boy 114,1868,Class 2,Cruiser
380,Adiva AD3 400,5800,adiva,Adiva AD3 400,399,Class 2A,Three Wheeler
381,Honda CBF150,6000,honda,Honda CBF150,149,Class 2B,Street Bikes
382,Kawasaki ZX14R Ninja (Ohlins),18500,kawasaki,Kawasaki ZX14R Ninja (Ohlins),1441,Class 2,Sport Bikes
383,Yamaha Aerox 155,11000,yamaha,Yamaha Aerox 155,155,Class 2B,Scooters
384,Honda CB150R ExMotion,Carry On Installment,honda,Honda CB150R ExMotion,149,Class 2B,Sport Bikes
385,Yamaha T135 Spark,5388,yamaha,Yamaha T135 Spark,135,Class 2B,Cubs
386,Yamaha FZN150i,5999,yamaha,Yamaha FZN150i,149,Class 2B,Street Bikes
387,SYM Excel II 150,2100,sym,SYM Excel II 150,150,Class 2B,Scooters
388,Honda CB400 Super 4 Revo,17800,honda,Honda CB400 Super 4 Revo,399,Class 2A,Street Bikes
389,Mutt Hilts Green 125,14500,mutt,Mutt Hilts Green 125,125,Class 2B,Street Bikes
390,SYM Cruisym 300,17800,sym,SYM Cruisym 300,278,Class 2A,Scooters
391,Honda CB400 Super 4 Revo,16900,honda,Honda CB400 Super 4 Revo,399,Class 2A,Street Bikes
392,BMW F800GS Adventure,12888,bmw,BMW F800GS Adventure,798,Class 2,Sport Tourers
393,Vespa GTS 150,17500,vespa,Vespa GTS 150,155,Class 2B,Scooters
394,Bajaj Dominar 400,7500,bajaj,Bajaj Dominar 400,373,Class 2A,Street Bikes
395,Yamaha MT-15,14000,yamaha,Yamaha MT-15,155,Class 2B,Street Bikes
396,Honda CB400 Super 4 Spec 3,12500,honda,Honda CB400 Super 4 Spec 3,399,Class 2A,Street Bikes
397,Lambretta V200 Special,13500,lambretta,Lambretta V200 Special,169,Class 2B,Scooters
398,Kawasaki ZG1400GTR Concours ABS,15000,kawasaki,Kawasaki ZG1400GTR Concours ABS,1352,Class 2,Sport Tourers
399,Kawasaki Z1000SX,10000,kawasaki,Kawasaki Z1000SX,1043,Class 2,Sport Bikes
400,Yamaha Xmax 300,16888,yamaha,Yamaha Xmax 300,292,Class 2A,Scooters
401,Yamaha MT-07,19888,yamaha,Yamaha MT-07,689,Class 2,Street Bikes
402,Suzuki V-Strom 1000,8800,suzuki,Suzuki V-Strom 1000,996,Class 2,Sport Tourers
403,Ducati Monster 821,35000,ducati,Ducati Monster 821,821,Class 2,Street Bikes
404,BMW K1200R,15000,bmw,BMW K1200R,1157,Class 2,Street Bikes
405,BMW R1200RS,30000,bmw,BMW R1200RS,1170,Class 2,Sport Tourers
406,KTM RC200,9800,ktm,KTM RC200,200,Class 2B,Sport Bikes
407,Lambretta V200 Special,11500,lambretta,Lambretta V200 Special,169,Class 2B,Scooters
408,Triumph Daytona 675,12000,triumph,Triumph Daytona 675,675,Class 2,Sport Bikes
409,Ducati GT1000,24800,ducati,Ducati GT1000,992,Class 2,Street Bikes
410,Yamaha Xmax 300,14888,yamaha,Yamaha Xmax 300,292,Class 2A,Scooters
411,Honda CBR1000RR,19800,honda,Honda CBR1000RR,999,Class 2,Sport Bikes
412,Honda PCX150,1800,honda,Honda PCX150,153,Class 2B,Scooters
413,Yamaha XSR900,19888,yamaha,Yamaha XSR900,847,Class 2,Street Bikes
414,Ducati Diavel,18786,ducati,Ducati Diavel,1198,Class 2,Street Bikes
415,Yamaha MT-09,9500,yamaha,Yamaha MT-09,847,Class 2,Street Bikes
416,Harley Davidson FLSTN Softail Deluxe,26900,harley davidson,Harley Davidson FLSTN Softail Deluxe,1340,Class 2,Cruiser
417,Kymco K-XCT200I,4500,kymco,Kymco K-XCT200I,199,Class 2B,Scooters
418,Kawasaki ZX10R Ninja,52800,kawasaki,Kawasaki ZX10R Ninja,998,Class 2,Sport Bikes
419,Suzuki DRZ400SM,7500,suzuki,Suzuki DRZ400SM,398,Class 2A,Super Motards
420,Yamaha FZ16 ST,3500,yamaha,Yamaha FZ16 ST,153,Class 2B,Street Bikes
421,Kymco K-XCT200I,4500,kymco,Kymco K-XCT200I,199,Class 2B,Scooters
422,Honda CB400 Super 4 Spec 1,5700,honda,Honda CB400 Super 4 Spec 1,399,Class 2A,Street Bikes
423,SYM GTS 200,2100,sym,SYM GTS 200,172,Class 2B,Scooters
424,KTM 790 Duke,30000,ktm,KTM 790 Duke,799,Class 2,Street Bikes
425,Vespa GTS Super 300 Sport,18500,vespa,Vespa GTS Super 300 Sport,278,Class 2A,Scooters
426,Yamaha YZF-R1,13888,yamaha,Yamaha YZF-R1,998,Class 2,Sport Bikes
427,Qooder Quadro,30000,qooder,Qooder Quadro,398,Class 2A,Three Wheeler
428,Yamaha Jupiter MX135,1100,yamaha,Yamaha Jupiter MX135,134,Class 2B,Cubs
429,Suzuki GSR750,13000,suzuki,Suzuki GSR750,749,Class 2,Street Bikes
430,Yamaha Aerox 155,13500,yamaha,Yamaha Aerox 155,155,Class 2B,Scooters
431,Harley Davidson Fat Boy 114,58100,harley davidson,Harley Davidson Fat Boy 114,1868,Class 2,Cruiser
432,Honda CBR150R,7200,honda,Honda CBR150R,150,Class 2B,Sport Bikes
433,Yamaha XT1200Z Super Tenere,12500,yamaha,Yamaha XT1200Z Super Tenere,1199,Class 2,Sport Tourers
434,BMW G310GS,12800,bmw,BMW G310GS,313,Class 2A,Street Bikes
435,Yamaha XSR155,15500,yamaha,Yamaha XSR155,155,Class 2B,Street Bikes
436,SYM Maxsym 400i,2888,sym,SYM Maxsym 400i,400,Class 2A,Scooters
437,Honda Forza 350,21000,honda,Honda Forza 350,329,Class 2A,Scooters
438,Honda Steed 400,10388,honda,Honda Steed 400,398,Class 2A,Cruiser
439,Yamaha YZF-R15,12500,yamaha,Yamaha YZF-R15,155,Class 2B,Sport Bikes
440,Honda MSX125,12000,honda,Honda MSX125,125,Class 2B,Super Motards
441,Honda CBR150R,11400,honda,Honda CBR150R,149,Class 2B,Sport Bikes
442,Kawasaki Z1000 ABS,12888,kawasaki,Kawasaki Z1000 ABS,1043,Class 2,Street Bikes
443,Vespa LX150 I.E.,5500,vespa,Vespa LX150 I.E.,155,Class 2B,Scooters
444,SYM Maxsym 400i,11500,sym,SYM Maxsym 400i,399,Class 2A,Scooters
445,Yamaha YZF-R15,11500,yamaha,Yamaha YZF-R15,155,Class 2B,Sport Bikes
446,Triumph Street Triple 675,7000,triumph,Triumph Street Triple 675,675,Class 2,Street Bikes
447,Honda CBR400R,7500,honda,Honda CBR400R,399,Class 2A,Sport Bikes
448,Yamaha MT-09 Tracer GT,27300,yamaha,Yamaha MT-09 Tracer GT,847,Class 2,Sport Tourers
449,Harley Davidson VRSCF V-Rod Muscle,26888,harley davidson,Harley Davidson VRSCF V-Rod Muscle,1247,Class 2,Cruiser
450,Suzuki GSX-R1000,4500,suzuki,Suzuki GSX-R1000,998,Class 2,Sport Bikes
451,BMW S1000XR,59500,bmw,BMW S1000XR,999,Class 2,Sport Tourers
452,Kawasaki Versys 650,17200,kawasaki,Kawasaki Versys 650,649,Class 2,Sport Tourers
453,SYM VF3i,8800,sym,SYM VF3i,183,Class 2B,Cubs
454,Ducati Monster 821,32000,ducati,Ducati Monster 821,821,Class 2,Street Bikes
455,Honda NM4 Vultus,16200,honda,Honda NM4 Vultus,745,Class 2,Cruiser
456,Yamaha Jupiter MX135,1888,yamaha,Yamaha Jupiter MX135,134,Class 2B,Cubs
457,Yamaha Xmax 300,17500,yamaha,Yamaha Xmax 300,292,Class 2A,Scooters
458,Honda VT400S,14350,honda,Honda VT400S,398,Class 2A,Cruiser
459,Honda CBR150R,12500,honda,Honda CBR150R,149,Class 2B,Sport Bikes
460,Yamaha MT-03,10000,yamaha,Yamaha MT-03,321,Class 2A,Street Bikes
461,Yamaha FZ6-N,9400,yamaha,Yamaha FZ6-N,600,Class 2,Street Bikes
462,Yamaha Aerox 155,13800,yamaha,Yamaha Aerox 155,155,Class 2B,Scooters
463,Yamaha YZF-R15,12950,yamaha,Yamaha YZF-R15,155,Class 2B,Sport Bikes
464,Yamaha Xmax 300,21000,yamaha,Yamaha Xmax 300,292,Class 2A,Scooters
465,Harley Davidson FLSTF Softail Fat Boy,12888,harley davidson,Harley Davidson FLSTF Softail Fat Boy,1340,Class 2,Cruiser
466,Aprilia Scarabeo 200 CVT,800,aprilia,Aprilia Scarabeo 200 CVT,181,Class 2B,Scooters
467,Yamaha YDS2,9888,yamaha,Yamaha YDS2,246,Class 2A,Classic Bikes
468,KTM RC200,6800,ktm,KTM RC200,200,Class 2B,Sport Bikes
469,Ducati Multistrada 1260 Pikes Peak,39000,ducati,Ducati Multistrada 1260 Pikes Peak,1262,Class 2,Sport Tourers
470,Harley Davidson FLHRC Road King Classic,32000,harley davidson,Harley Davidson FLHRC Road King Classic,1690,Class 2,Cruiser
471,Honda CBR600RR,14000,honda,Honda CBR600RR,599,Class 2,Sport Bikes
472,Suzuki Burgman 200 ABS,18300,suzuki,Suzuki Burgman 200 ABS,200,Class 2B,Scooters
473,Yamaha YZF-R15,11388,yamaha,Yamaha YZF-R15,155,Class 2,Sport Bikes
474,Harley Davidson XL50 Sportster 50th Annv,16000,harley davidson,Harley Davidson XL50 Sportster 50th Annv,1200,Class 2,Cruiser
475,Yamaha FZN150i,5000,yamaha,Yamaha FZN150i,149,Class 2B,Street Bikes
476,Honda NC700XA,5000,honda,Honda NC700XA,670,Class 2,Sport Tourers
477,Suzuki GSX-R1300 Hayabusa,21888,suzuki,Suzuki GSX-R1300 Hayabusa,1340,Class 2,Sport Bikes
478,Ducati SuperSport S,33000,ducati,Ducati SuperSport S,937,Class 2,Sport Bikes
479,Vespa LX150,12000,vespa,Vespa LX150,151,Class 2B,Scooters
480,Yamaha Sniper 150,11000,yamaha,Yamaha Sniper 150,150,Class 2B,Cubs
481,Honda CBR400R,5188,honda,Honda CBR400R,399,Class 2A,Sport Bikes
482,Yamaha Sniper 155,16500,yamaha,Yamaha Sniper 155,155,Class 2B,Cubs
483,Yamaha YBR125,6900,yamaha,Yamaha YBR125,124,Class 2B,Street Bikes
484,Suzuki GSX-R1300 Hayabusa,16600,suzuki,Suzuki GSX-R1300 Hayabusa,1340,Class 2,Sport Bikes
485,Ducati Streetfighter V4S,66000,ducati,Ducati Streetfighter V4S,1103,Class 2,Sport Bikes
486,Yamaha Tmax 530,13800,yamaha,Yamaha Tmax 530,530,Class 2,Scooters
487,Gilera ST200 Runner,4288,gilera,Gilera ST200 Runner,198,Class 2B,Scooters
488,Honda CRF1000A Africa Twin,23000,honda,Honda CRF1000A Africa Twin,998,Class 2,Sport Tourers
489,Kawasaki Z1000SX,8500,kawasaki,Kawasaki Z1000SX,1043,Class 2,Sport Bikes
490,Ducati Multistrada 1200,18500,ducati,Ducati Multistrada 1200,1198,Class 2,Sport Tourers
491,Vespa GS150,10000,vespa,Vespa GS150,155,Class 2B,Scooters
492,Suzuki V-Strom 650,12000,suzuki,Suzuki V-Strom 650,645,Class 2,Sport Tourers
493,Vespa GTS 300 Supertech HPE,19888,vespa,Vespa GTS 300 Supertech HPE,278,Class 2A,Scooters
494,Ducati Multistrada 1200 ABS,17500,ducati,Ducati Multistrada 1200 ABS,1198,Class 2,Sport Tourers
495,BMW F800GS,16000,bmw,BMW F800GS,798,Class 2,Sport Tourers
496,Yamaha MT-15,13000,yamaha,Yamaha MT-15,155,Class 2B,Street Bikes
497,Harley Davidson Roadster,25000,harley davidson,Harley Davidson Roadster,1202,Class 2,Cruiser
498,Aprilia RSV4 RF,28500,aprilia,Aprilia RSV4 RF,999,Class 2,Sport Bikes
499,SYM Joymax 300i,1500,sym,SYM Joymax 300i,278,Class 2A,Scooters
500,Honda Wave 125,6000,honda,Honda Wave 125,125,Class 2B,Cubs
501,Yamaha YZF-R15,11500,yamaha,Yamaha YZF-R15,155,Class 2B,Sport Bikes
502,Yamaha YZF-R15,15888,yamaha,Yamaha YZF-R15,155,Class 2B,Sport Bikes
503,Ducati Hypermotard 950 RVE,33500,ducati,Ducati Hypermotard 950 RVE,937,Class 2,Super Motards
504,KTM 200 Duke,7000,ktm,KTM 200 Duke,200,Class 2B,Street Bikes
505,Harley Davidson FXDB Dyna Street Bob,21888,harley davidson,Harley Davidson FXDB Dyna Street Bob,1584,Class 2,Cruiser
506,Honda TA200 Phantom,2900,honda,Honda TA200 Phantom,197,Class 2B,Cruiser
507,SYM GTS 200,3250,sym,SYM GTS 200,172,Class 2B,Scooters
508,Yamaha Sniper 150,9999,yamaha,Yamaha Sniper 150,150,Class 2B,Cubs
509,SYM HD2 200I,8800,sym,SYM HD2 200I,172,Class 2B,Scooters
510,Honda CBR600RR,18000,honda,Honda CBR600RR,599,Class 2,Sport Bikes
511,Yamaha YZF-R3,15500,yamaha,Yamaha YZF-R3,321,Class 2A,Sport Bikes
512,Honda CBR1000RR,8500,honda,Honda CBR1000RR,998,Class 2,Sport Bikes
513,Kymco AK550,18000,kymco,Kymco AK550,550,Class 2,Scooters
514,Honda Wave 125,3888,honda,Honda Wave 125,125,Class 2B,Cubs
515,Yamaha YZF-R125,8888,yamaha,Yamaha YZF-R125,125,Class 2B,Sport Bikes
516,Yamaha T135 Spark,11000,yamaha,Yamaha T135 Spark,135,Class 2B,Cubs
517,Ducati Monster 696,11000,ducati,Ducati Monster 696,696,Class 2,Street Bikes
518,Suzuki GSX-R1300 Hayabusa,22222,suzuki,Suzuki GSX-R1300 Hayabusa,1340,Class 2,Sport Bikes
519,Harley Davidson VRSCX V-Rod Limited Edition,23000,harley davidson,Harley Davidson VRSCX V-Rod Limited Edition,1246,Class 2,Cruiser
520,Rieju Marathon Pro 200,Carry On Installment,rieju,Rieju Marathon Pro 200,183,Class 2B,Super Motards
521,Honda CB400 Super 4 Spec 2,4500,honda,Honda CB400 Super 4 Spec 2,399,Class 2A,Street Bikes
522,Honda CBR400R,7500,honda,Honda CBR400R,399,Class 2A,Sport Bikes
523,Yamaha Jupiter MX135,1300,yamaha,Yamaha Jupiter MX135,134,Class 2B,Cubs
524,Honda CB750F,5200,honda,Honda CB750F,747,Class 2,Street Bikes
525,Bajaj Pulsar NS200,2100,bajaj,Bajaj Pulsar NS200,200,Class 2B,Street Bikes
526,Honda CBF190X Fighthawk,7500,honda,Honda CBF190X Fighthawk,184,Class 2B,Sport Tourers
527,Triumph Tiger 800 XRx,16000,triumph,Triumph Tiger 800 XRx,800,Class 2,Sport Tourers
528,Yamaha Sniper 150,5500,yamaha,Yamaha Sniper 150,150,Class 2B,Cubs
529,Honda CB400 Super 4 Revo,9000,honda,Honda CB400 Super 4 Revo,399,Class 2A,Street Bikes
530,Yamaha FZ16,7088,yamaha,Yamaha FZ16,153,Class 2B,Street Bikes
531,Honda CB400 Super 4 Bold'or,12345,honda,Honda CB400 Super 4 Bold'or,399,Class 2A,Street Bikes
532,KTM 200 Duke,5900,ktm,KTM 200 Duke,200,Class 2B,Street Bikes
533,Yamaha Tmax 530,13500,yamaha,Yamaha Tmax 530,530,Class 2,Scooters
534,Honda CB400 Super 4 Spec 3,8800,honda,Honda CB400 Super 4 Spec 3,399,Class 2A,Street Bikes
535,Yamaha TTX115,2500,yamaha,Yamaha TTX115,114,Class 2B,Scooters
536,Honda Adv 150,16888,honda,Honda Adv 150,149,Class 2B,Scooters
537,Honda TA200 Phantom,8400,honda,Honda TA200 Phantom,197,Class 2B,Cruiser
538,BMW R NineT,20000,bmw,BMW R NineT,1170,Class 2,Street Bikes
539,Zontes ZT150G,13000,zontes,Zontes ZT150G,155,Class 2B,Street Bikes
540,Ducati Scrambler Full Throttle,24000,ducati,Ducati Scrambler Full Throttle,803,Class 2,Street Bikes
541,Yamaha FZ16 ST,8000,yamaha,Yamaha FZ16 ST,153,Class 2B,Street Bikes
542,Yamaha Aerox 155,13900,yamaha,Yamaha Aerox 155,155,Class 2B,Scooters
543,Honda Rebel 500,18000,honda,Honda Rebel 500,471,Class 2,Street Bikes
544,Yamaha SDR200,23888,yamaha,Yamaha SDR200,195,Class 2B,Street Bikes
545,Yamaha YZF-R15,14800,yamaha,Yamaha YZF-R15,155,Class 2B,Sport Bikes
546,Harley Davidson Fat Boy Special,35000,harley davidson,Harley Davidson Fat Boy Special,1801,Class 2,Cruiser
547,Yamaha Xmax 300,17000,yamaha,Yamaha Xmax 300,292,Class 2A,Scooters
548,Yamaha MT-01,11425,yamaha,Yamaha MT-01,1670,Class 2,Street Bikes
549,Kawasaki Z1000SX,8000,kawasaki,Kawasaki Z1000SX,1043,Class 2,Sport Bikes
550,Harley Davidson FXDWG Dyna Wide Glide,18000,harley davidson,Harley Davidson FXDWG Dyna Wide Glide,1450,Class 2,Cruiser
551,Bajaj Pulsar NS200,4500,bajaj,Bajaj Pulsar NS200,200,Class 2B,Street Bikes
552,Zontes V310,14600,zontes,Zontes V310,312,Class 2A,Street Bikes
553,Vespa Primavera 150,10999,vespa,Vespa Primavera 150,155,Class 2B,Scooters
554,Ducati 1199 Panigale,36000,ducati,Ducati 1199 Panigale,1198,Class 2,Sport Bikes
555,Ducati Hypermotard 796,15588,ducati,Ducati Hypermotard 796,803,Class 2,Super Motards
556,Triumph Tiger Explorer,14500,triumph,Triumph Tiger Explorer,1215,Class 2,Sport Tourers
557,Honda Adv 150,15500,honda,Honda Adv 150,149,Class 2B,Scooters
558,Yamaha XSR155,17000,yamaha,Yamaha XSR155,155,Class 2B,Street Bikes
559,Triumph Tiger Explorer,9988,triumph,Triumph Tiger Explorer,1215,Class 2,Sport Tourers
560,Suzuki GSR750,20000,suzuki,Suzuki GSR750,749,Class 2,Street Bikes
561,Yamaha MT-09 Tracer,13000,yamaha,Yamaha MT-09 Tracer,847,Class 2,Sport Tourers
562,Suzuki V-Strom 650,8000,suzuki,Suzuki V-Strom 650,645,Class 2,Sport Tourers
563,Adiva AD1 200,9600,adiva,Adiva AD1 200,190,Class 2B,Three Wheeler
564,Honda CBF150,6800,honda,Honda CBF150,149,Class 2B,Street Bikes
565,Yamaha YZF-R15,5800,yamaha,Yamaha YZF-R15,150,Class 2B,Sport Bikes
566,Yamaha MT-03,14500,yamaha,Yamaha MT-03,321,Class 2A,Street Bikes
567,Harley Davidson FLHRCI Road King Classic,23230,harley davidson,Harley Davidson FLHRCI Road King Classic,1450,Class 2,Cruiser
568,Ducati Hypermotard 821,13500,ducati,Ducati Hypermotard 821,821,Class 2,Super Motards
569,Honda CB400 Super 4 Revo,13000,honda,Honda CB400 Super 4 Revo,399,Class 2A,Street Bikes
570,Honda NM4 Vultus,13800,honda,Honda NM4 Vultus,745,Class 2,Cruiser
571,Yamaha TTX115,2500,yamaha,Yamaha TTX115,114,Class 2B,Scooters
572,Yamaha Jupiter MX135,4000,yamaha,Yamaha Jupiter MX135,134,Class 2B,Cubs
573,Ducati 1199 Panigale,40000,ducati,Ducati 1199 Panigale,1198,Class 2,Sport Bikes
574,Yamaha Fino 115,2300,yamaha,Yamaha Fino 115,114,Class 2B,Scooters
