year,make,number
2005,ADIVA,0
2005,APRILIA,1075
2005,B.M.W.,610
2005,B.S.A.,12
2005,BAJAJ,198
2005,BENELLI,71
2005,BIMOTA,6
2005,CAGIVA,186
2005,CAN-AM,0
2005,CHUNLAN,39
2005,COSA,413
2005,CPI,0
2005,DAELIM,2755
2005,DERBI,0
2005,DUCATI,319
2005,EMAX,0
2005,GAS GAS,53
2005,HARLEY DAVIDSON,892
2005,HARTFORD,9
2005,HONDA,65881
2005,HUSQVARNA,36
2005,HYOSUNG,404
2005,ITALJET,41
2005,K.T.M.,701
2005,KAWASAKI,4129
2005,KEEWAY,0
2005,KYMCO,784
2005,LAMBRETTA,17
2005,LML,630
2005,M.V. AGUSTA,0
2005,M.V. AUGUSTA,11
2005,MEGELLI,0
2005,MLE,0
2005,MODENAS,359
2005,MOTO GUZZI,20
2005,NORTON,20
2005,P.G.O.,199
2005,PAIJIFA,10
2005,PEUGEOT,0
2005,PIAGGIO,6863
2005,REGAL-RAPTOR,0
2005,RIEJU,0
2005,ROYAL ENFIELD,0
2005,SACHS,0
2005,SACIN,0
2005,SANG YANG,15
2005,SANYANG,262
2005,SIPSTAR,27
2005,SUZUKI,8297
2005,SYM,722
2005,T.G.B.,0
2005,TGB,9
2005,TIGER,66
2005,TRIUMPH,48
2005,TVS,0
2005,VESPA,7012
2005,VINCENT,0
2005,YAMAHA,35955
2005,ZIPSTAR,0
2005,ZONGSHEN,239
2005,OTHERS,39
2006,ADIVA,0
2006,APRILIA,1075
2006,B.M.W.,632
2006,B.S.A.,21
2006,BAJAJ,754
2006,BENELLI,70
2006,BIMOTA,6
2006,CAGIVA,167
2006,CAN-AM,0
2006,CHUNLAN,34
2006,COSA,320
2006,CPI,0
2006,DAELIM,2618
2006,DERBI,0
2006,DUCATI,355
2006,EMAX,0
2006,GAS GAS,46
2006,HARLEY DAVIDSON,1005
2006,HARTFORD,7
2006,HONDA,66879
2006,HUSQVARNA,50
2006,HYOSUNG,405
2006,ITALJET,29
2006,K.T.M.,694
2006,KAWASAKI,4106
2006,KEEWAY,0
2006,KYMCO,819
2006,LAMBRETTA,17
2006,LML,635
2006,M.V. AGUSTA,20
2006,M.V. AUGUSTA,0
2006,MEGELLI,0
2006,MLE,0
2006,MODENAS,348
2006,MOTO GUZZI,20
2006,NORTON,21
2006,P.G.O.,202
2006,PAIJIFA,9
2006,PEUGEOT,0
2006,PIAGGIO,7452
2006,REGAL-RAPTOR,0
2006,RIEJU,0
2006,ROYAL ENFIELD,20
2006,SACHS,0
2006,SACIN,0
2006,SANG YANG,15
2006,SANYANG,219
2006,SIPSTAR,0
2006,SUZUKI,8179
2006,SYM,1027
2006,T.G.B.,0
2006,TGB,8
2006,TIGER,47
2006,TRIUMPH,72
2006,TVS,0
2006,VESPA,6404
2006,VINCENT,0
2006,YAMAHA,37640
2006,ZIPSTAR,25
2006,ZONGSHEN,229
2006,OTHERS,35
2007,ADIVA,0
2007,APRILIA,1050
2007,B.M.W.,652
2007,B.S.A.,21
2007,BAJAJ,1102
2007,BENELLI,75
2007,BIMOTA,6
2007,CAGIVA,142
2007,CAN-AM,0
2007,CHUNLAN,25
2007,COSA,265
2007,CPI,0
2007,DAELIM,2375
2007,DERBI,0
2007,DUCATI,436
2007,EMAX,0
2007,GAS GAS,37
2007,HARLEY DAVIDSON,1115
2007,HARTFORD,5
2007,HONDA,67340
