,motor_name,motor_price,year
550,Yamaha Sniper T155 Keyless ABS ,5500,2022
551,Yamaha SR400 60th Anniversary Edition Non ABS ,12500,2016
552,Yamaha SR400 Non ABS ,12000,2015
553,Yamaha SR400 Non ABS ,11200,2016
554,Yamaha Stryker ABS ,23000,2016
555,Yamaha Stryker Bullet Cowl ABS ,23000,2016
556,Yamaha T135 (Spark) Non ABS ,9317,2011
557,Yamaha T135 (Spark) Non ABS ,4788,2012
558,Yamaha T150 Sniper Non ABS ,5000,2016
559,Yamaha TMAX 530 (DX) ABS ,14500,2017
560,Yamaha TMAX 530 ABS ,20500,2015
561,Yamaha TMAX 530 ABS ,21500,2015
562,Yamaha Tricity 125 ABS ,7500,2015
563,Yamaha Tricity 125 ABS ,7500,2015
564,Yamaha Tricity 155 ABS ,8000,2016
565,Yamaha Tricity 155 ABS ,8000,2017
566,Yamaha TTX 115Fi Non ABS ,8500,2016
567,Yamaha TW200 Non ABS ,8500,2016
568,Yamaha TW200 Non ABS ,8500,2017
569,Yamaha V Star 1300 ABS ,32000,2016
570,Yamaha V Star 1300 Deluxe ABS ,32000,2016
571,Yamaha V Star 1300 Tourer ABS ,32000,2016
572,Yamaha V Star 250 ABS ,12000,2016
573,Yamaha V Star 650 Custom ABS ,19000,2016
574,Yamaha V Star 950 ABS ,22000,2016
575,Yamaha V Star 950 Tourer ABS ,24000,2016
576,Yamaha VMAX ABS ,18000,2016
577,Yamaha WR125X Non ABS ,9000,2016
578,Yamaha WR155 Manual ABS ,7000,2021
579,Yamaha WR250F Non ABS ,12000,2016
580,Yamaha WR250R Non ABS ,13000,2017
581,Yamaha WR250X Non ABS ,12500,2016
582,Yamaha WR450F Non ABS ,14500,2016
583,Yamaha X-1R Non ABS ,6800,2011
584,Yamaha X-1R Non ABS ,4788,2012
585,Yamaha XABRE TFX150 (MT-15) Non ABS ,10900,2017
586,Yamaha XABRE TFX150 (MT-15) Non ABS ,10800,2018
587,Yamaha XJ6F ABS ,16400,2015
588,Yamaha XJ6N ABS ,15900,2015
589,Yamaha XJ6N ABS ,15900,2015
590,Yamaha XMax 300 ABS ,10900,2017
591,Yamaha XMax 300 ABS ,11000,2021
592,Yamaha XMax 300 ABS ,11000,2022
593,Yamaha XSR155 Non-ABS ,11000,2021
594,Yamaha XSR900 ABS ,24000,2016
595,Yamaha XT225 Serow Non ABS ,12000,2016
596,Yamaha XT250 Non ABS ,12000,2017
597,Yamaha XT660Z Tenere ABS ,22500,2016
598,Yamaha XTZ 125 Non ABS ,9000,2016
599,Yamaha XV950 Bolt ABS ,19500,2015
600,Yamaha XV950 R Bolt ABS ,20500,2015
601,Yamaha XVS1300A Midnight Star ABS ,23000,2016
602,Yamaha Y125Z ,4700,2003
603,Yamaha YBR125 Non ABS ,5000,2015
604,Yamaha YBR125 Non ABS ,5000,2015
605,Yamaha YP400 Majesty ABS ,16000,2016
606,Yamaha YZF R1 ABS ,36000,2015
607,Yamaha YZF R15 V2 Non ABS ,7100,2015
608,Yamaha YZF R15 V2 Non ABS ,8148,2015
609,Yamaha YZF R15 V2 Non ABS ,7100,2016
610,Yamaha YZF R15 V2 Non ABS ,5800,2016
611,Yamaha YZF R1M ABS ,46000,2015
612,Yamaha YZF R1M ABS ,46000,2015
613,Yamaha YZF R1S ABS ,44000,2016
614,Yamaha YZF R3 ABS ,10900,2015
615,Yamaha YZF R3 ABS ,10900,2016
616,Yamaha YZF R3 ABS ,10900,2017
617,Yamaha YZF R3 ABS Bikers Edition ,10900,2017
618,Yamaha YZF R6 ABS ,22942,2015
619,Yamaha YZF-R1 ABS ,32000,2016
620,Yamaha YZF-R15 Bikers Edition Non ABS ,7100,2016
621,Yamaha YZF-R15 Special Edition Blue Non ABS ,7100,2016
622,Yamaha YZF-R15 Special Edition Orange Non ABS ,7100,2016
623,Yamaha YZF-R15 V3 Blue ABS ,7100,2017
624,Yamaha YZF-R15 V3 Red ABS ,7100,2017
625,Yamaha YZF-R15 V3 Yellow ABS ,7100,2017
626,Yamaha YZF-R155 (R15) ABS Manual ,9500,2012
627,Yamaha YZF-R155 (R15) ABS Manual ,12300,2019
628,Yamaha YZF-R155 (R15) ABS Manual ,12500,2020
629,Yamaha YZF-R3 ABS Manual ,9000,2019
630,Yamaha YZF-R6S ABS ,8000,2008
631,Yamaha YZF155 (R15 V3) ABS ,6500,2020
632,Yamaha YZF155 (R15 V4) ABS ,7100,2022
