,motor_name,motor_price,year
130,Honda CB400X Red ABS ,16500,2018
131,Honda CB400X White ABS ,16500,2015
132,Honda CB400X White ABS ,16500,2015
133,Honda CB500X ABS ,16500,2016
134,Honda CBF150 Non ABS ,5600,2015
135,Honda CBF190WH Non ABS ,4800,2016
136,Honda CBF190X Manual Non ABS ,5300,2017
137,Honda CBR1000RR ABS ,19318,2012
138,Honda CBR1000RR Black ABS ,32000,2015
139,Honda CBR1000RR Black ABS ,32000,2015
140,Honda CBR1000RR HRC ABS ,33000,2015
141,Honda CBR1000RR HRC ABS ,33000,2015
142,Honda CBR1000RR White ABS ,33500,2015
143,Honda CBR1000RR White ABS ,32000,2015
144,Honda CBR150R Non ABS ,8500,2015
145,Honda CBR150R Repsol Non ABS ,8500,2015
146,Honda CBR250R ABS ,15000,2015
147,Honda CBR300R ABS ,17000,2016
148,Honda CBR400R ABS ,15342,2015
149,Honda CBR500R ABS ,21000,2016
150,Honda CBR600RR Black ABS ,22342,2015
151,Honda CBR600RR Black ABS ,25042,2015
152,Honda CBR600RR HRC ABS ,22942,2015
153,Honda CBR600RR HRC ABS ,25642,2015
154,Honda CBR600RR Repsol ABS ,23642,2015
155,Honda CBR600RR Repsol ABS ,26342,2015
156,Honda CBR650F ABS ,22000,2016
157,Honda Click 150i CVT Non ABS ,6000,2019
158,Honda CRF1000L Africa Twin ABS ,32000,2016
159,Honda CRF250L Non ABS ,9100,2015
160,Honda CRF300L Non ABS ,13500,2021
161,Honda CTX1300 ABS 2014,34000,2014
162,Honda CTX700 ABS ,28000,2016
163,Honda CTX700N ABS ,28500,2016
164,Honda DN 01 CVT ABS ,35000,2016
165,Honda F6B Flat 6 Bagger ABS ,51842,2015
166,Honda Forza 350 ABS ,22900,2021
167,Honda FS150F Non ABS ,10900,2017
168,Honda Fury ABS ,35000,2016
169,Honda GL1800 Goldwing ABS ,56442,2015
170,Honda GLS200 Tiger Non ABS ,8000,2016
171,Honda Goldwing F6B ABS ,74000,2016
172,Honda Goldwing Valkyrie ABS ,74000,2015
173,Honda Interceptor ABS ,35000,2015
174,Honda Interstate ABS ,35000,2015
175,Honda Monkey 125 Non ABS ,18500,2021
176,Honda MSX125 ABS ,6500,2018
177,Honda MSX125 ABS ,8000,2018
178,Honda MSX125 Non ABS ,5300,2015
179,Honda MSX125 Non ABS ,6500,2015
180,Honda MSX125 Non ABS ,6500,2016
181,Honda NC700X ABS ,2150,2013
